year,Total Residents,0 - 4 Years,5 - 9 Years,10 - 14 Years,15 - 19 Years,20 - 24 Years,25 - 29 Years,30 - 34 Years,35 - 39 Years,40 - 44 Years,45 - 49 Years,50 - 54 Years,55 - 59 Years,60 - 64 Years,65 - 69 Years,70 - 74 Years,75 - 79 Years,80 - 84 Years,85 - 89 Years,90 Years & Over
2022,"4,073,239","178,085","201,360","202,379","206,749","233,303","280,082","317,153","290,981","299,871","304,317","292,984","299,835","288,007","247,930","188,584","105,792","74,937","37,948","22,942"
2021,"3,986,842","178,435","198,760","199,993","204,913","237,720","278,037","301,060","289,221","292,770","300,125","285,962","298,226","282,612","235,391","181,326","90,978","71,555","37,668","22,090"
2020,"4,044,210","183,076","198,737","206,393","215,234","244,537","286,997","297,798","299,515","299,291","311,740","296,068","305,830","284,626","229,396","170,008","90,990","66,513","36,586","20,875"
2019,"4,026,209","185,355","197,775","207,926","222,222","249,079","288,194","293,446","300,818","300,763","311,682","301,682","306,759","278,828","221,296","150,127","94,600","62,293","33,935","19,429"
2018,"3,994,283","185,528","199,066","206,530","226,520","255,516","291,631","281,397","303,720","303,640","307,838","308,965","304,390","271,688","212,101","135,546","93,327","57,103","31,991","17,786"
2017,"3,965,796","187,653","200,575","206,253","232,973","259,072","290,198","279,340","300,956","311,484","303,457","312,814","301,678","262,651","203,969","119,494","91,953","54,341","30,481","16,454"
2016,"3,933,559","187,160","201,509","207,495","239,771","260,854","279,988","285,544","301,998","313,445","301,183","315,598","299,591","251,853","198,020","103,796","87,955","53,556","29,086","15,157"
2015,"3,902,690","183,575","204,452","214,388","242,902","264,127","271,030","290,619","301,067","316,755","303,413","315,091","295,063","240,493","182,425","102,631","81,211","51,785","27,494","14,169"
2014,"3,870,739","181,369","205,790","220,796","247,337","263,918","265,659","292,287","302,029","316,023","308,533","315,503","288,392","231,502","161,198","106,815","76,294","48,418","25,486","13,390"
2013,"3,844,751","183,295","205,704","226,244","255,066","266,889","255,615","296,870","305,503","312,581","316,336","312,988","281,069","222,154","145,817","105,746","70,619","46,199","23,235","12,821"
2012,"3,818,205","186,673","206,324","233,320","258,861","264,506","254,582","295,396","313,970","308,823","320,925","310,376","271,817","213,996","128,879","104,414","67,675","44,115","21,503","12,050"
2011,"3,789,251","188,249","208,119","240,536","260,738","255,069","262,606","297,555","316,161","306,614","323,991","308,130","260,678","208,160","112,396","100,073","66,909","42,145","19,756","11,366"
2010,"3,771,721","194,432","215,675","244,302","263,750","247,190","272,639","298,687","320,024","309,441","323,459","303,044","248,696","191,995","111,511","92,618","65,178","39,839","18,481","10,760"
2009,"3,733,876","197,788","221,435","248,628","262,775","241,753","274,308","297,240","317,311","312,983","322,497","297,383","239,947","169,696","116,258","87,428","61,490","37,143","17,569","10,244"
2008,"3,642,659","193,889","223,622","253,796","262,856","225,385","263,114","289,817","307,243","317,363","318,078","289,189","229,356","153,161","115,185","81,307","59,001","33,882","16,734","9,681"
2007,"3,583,082","193,626","229,541","255,292","257,298","218,485","254,523","294,453","301,973","321,049","315,552","279,220","220,983","135,501","113,757","78,631","56,732","31,519","15,923","9,024"
2006,"3,525,894","194,479","235,204","256,482","246,547","219,631","251,659","293,251","298,203","323,017","312,858","266,994","214,601","118,242","108,837","78,317","54,413","29,443","15,206","8,510"
2005,"3,467,814","199,529","237,237","258,553","234,921","218,951","247,799","293,414","299,153","321,472","307,546","254,168","197,803","117,575","101,088","76,545","51,601","27,879","14,514","8,066"
2004,"3,413,266","204,819","240,517","257,283","227,417","215,217","246,713","290,489","302,908","321,057","300,671","244,110","174,788","122,736","96,007","72,485","47,875","26,864","13,778","7,532"
2003,"3,366,891","209,903","247,044","259,124","214,074","215,412","250,878","287,304","310,643","318,282","292,791","233,180","157,894","121,724","89,883","70,002","42,863","25,783","13,217","6,890"
2002,"3,382,944","217,798","253,192","257,692","209,687","216,313","262,720","289,184","320,753","320,863","286,738","230,367","143,175","123,438","89,587","70,642","45,830","25,213","13,047","6,705"
2001,"3,325,902","222,991","254,077","246,972","210,903","214,636","262,754","286,690","322,878","317,996","274,569","223,842","125,449","118,506","89,676","69,048","42,501","23,897","12,500","6,017"
2000,"3,273,363","225,705","256,574","235,352","211,286","212,236","267,161","290,290","322,621","312,420","262,201","206,657","125,061","110,503","88,305","66,948","39,644","22,876","12,092","5,431"
1999,"3,229,681","232,614","256,149","228,191","208,600","213,031","270,217","296,867","322,289","305,241","252,282","182,738","130,631","105,370","84,391","63,592","37,951","22,345",na,na
1998,"3,180,018","240,072","257,440","214,443","208,282","217,260","268,517","304,104","319,208","296,755","241,863","165,341","130,334","99,178","82,118","59,856","36,422","22,095",na,na
1997,"3,123,403","243,259","253,311","208,388","203,429","226,764","264,769","306,773","315,944","286,259","232,426","146,576","129,003","96,766","80,324","56,176","35,441","21,859",na,na
